ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
TBLTW,,,,,,,
BLKB,52.45614035,,"
2021-12-31    1.109632e+09
2020-12-31    1.013404e+09
2019-12-31    9.888370e+08
2018-12-31    8.056550e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    717060000.0
2020-12-31    426150000.0
2019-12-31    396764000.0
2018-12-31    373783000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.547474
2020-12-31    2.378045
2019-12-31    2.492255
2018-12-31    2.155408
dtype: float64","
2021-12-31    55146000.0
2020-12-31    35750000.0
2019-12-31    31810000.0
2018-12-31    30866000.0
Name: Cash, dtype: float64","
2021-12-31    850971000.0
2020-12-31    819060000.0
2019-12-31    734539000.0
2018-12-31    597982000.0
Name: Total Current Assets, dtype: float64"
CRBU,0.510234352,,"
2021-12-31    25829000.0
2020-12-31    12389000.0
2019-12-31    10078000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    387825000.0
2020-12-31    -23437000.0
2019-12-31      7463000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.066600
2020-12-31   -0.528609
2019-12-31    1.350395
dtype: float64","
2021-12-31    240420000.0
2020-12-31     15953000.0
2019-12-31     41070000.0
Name: Cash, dtype: float64","
2021-12-31    391192000.0
2020-12-31     24306000.0
2019-12-31     57008000.0
Name: Total Current Assets, dtype: float64"
GHM,2.131782946,0.0494,"
2022-03-31    59424000.0
2021-03-31    43573000.0
2020-03-31    49234000.0
2019-03-31    54887000.0
Name: Total Current Liabilities, dtype: float64","
2022-03-31    96494000.0
2021-03-31    97929000.0
2020-03-31    96724000.0
2019-03-31    98966000.0
Name: Total Stockholder Equity, dtype: float64","
2022-03-31    0.615831
2021-03-31    0.444945
2020-03-31    0.509015
2019-03-31    0.554605
dtype: float64","
2022-03-31    14741000.0
2021-03-31    59532000.0
2020-03-31    32955000.0
2019-03-31    15021000.0
Name: Cash, dtype: float64","
2022-03-31     87220000.0
2021-03-31    120248000.0
2020-03-31    126677000.0
2019-03-31    134783000.0
Name: Total Current Assets, dtype: float64"
0KEJ.L,,,"
2021-12-31    2.323000e+09
2020-12-31    1.505500e+10
2019-12-31    4.900000e+09
2018-12-31    4.563000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.372300e+10
2020-12-31    1.337300e+10
2019-12-31    1.299100e+10
2018-12-31    1.165700e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.169278
2020-12-31    1.125776
2019-12-31    0.377184
2018-12-31    0.391439
dtype: float64","
2021-12-31    3.571000e+09
2020-12-31    4.420000e+08
2019-12-31    8.150000e+08
2018-12-31    6.210000e+08
Name: Cash, dtype: float64","
2021-12-31    5.007000e+09
2020-12-31    2.090000e+10
2019-12-31    2.767000e+09
2018-12-31    2.432000e+09
Name: Total Current Assets, dtype: float64"
WMB,1.297468354,0.0529,"
2021-12-31    4.972000e+09
2020-12-31    2.319000e+09
2019-12-31    3.968000e+09
2018-12-31    1.811000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.138800e+10
2020-12-31    1.173400e+10
2019-12-31    1.332800e+10
2018-12-31    1.462500e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.436600
2020-12-31    0.197631
2019-12-31    0.297719
2018-12-31    0.123829
dtype: float64","
2021-12-31    1.680000e+09
2020-12-31    1.420000e+08
2019-12-31    2.890000e+08
2018-12-31    1.680000e+08
Name: Cash, dtype: float64","
2021-12-31    4.549000e+09
2020-12-31    1.429000e+09
2019-12-31    1.580000e+09
2018-12-31    1.464000e+09
Name: Total Current Assets, dtype: float64"
BLNK,0.757575758,,"
2021-12-31    16227000.0
2020-12-31     6145000.0
2019-12-31     4369480.0
2018-12-31     5242621.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    213834000.0
2020-12-31     27164000.0
2019-12-31      7434441.0
2018-12-31     16094224.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.075886
2020-12-31    0.226219
2019-12-31    0.587735
2018-12-31    0.325745
dtype: float64","
2021-12-31    174795000.0
2020-12-31     22342000.0
2019-12-31      4168837.0
2018-12-31     15538849.0
Name: Cash, dtype: float64","
2021-12-31    192530000.0
2020-12-31     25725000.0
2019-12-31     10160924.0
2018-12-31     20660536.0
Name: Total Current Assets, dtype: float64"
IMYSF,,0.0468,"
2021-12-31    1.447700e+09
2020-12-31    1.295300e+09
2019-12-31    1.477800e+09
2018-12-31    1.244900e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.193400e+09
2020-12-31    2.901500e+09
2019-12-31    3.113700e+09
2018-12-31    3.217200e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.453341
2020-12-31    0.446424
2019-12-31    0.474612
2018-12-31    0.386951
dtype: float64","
2021-12-31    577200000.0
2020-12-31    648500000.0
2019-12-31    660400000.0
2018-12-31    848900000.0
Name: Cash, dtype: float64","
2021-12-31    2.425800e+09
2020-12-31    2.128700e+09
2019-12-31    2.345700e+09
2018-12-31    2.685600e+09
Name: Total Current Assets, dtype: float64"
TRI,1.25111309,0.017,"
2021-12-31    2.581000e+09
2020-12-31    2.652000e+09
2019-12-31    3.219000e+09
2018-12-31    2.691000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.372400e+10
2020-12-31    9.870000e+09
2019-12-31    9.450000e+09
2018-12-31    9.100000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.188065
2020-12-31    0.268693
2019-12-31    0.340635
2018-12-31    0.295714
dtype: float64","
2021-12-31    7.780000e+08
2020-12-31    1.787000e+09
2019-12-31    8.250000e+08
2018-12-31    2.706000e+09
Name: Cash, dtype: float64","
2021-12-31    2.453000e+09
2020-12-31    3.975000e+09
2019-12-31    3.071000e+09
2018-12-31    4.521000e+09
Name: Total Current Assets, dtype: float64"
RF6.F,2.555663117,,"
2021-12-31    8.418869e+09
2020-12-31    7.143983e+09
2019-12-31    6.436451e+09
2018-12-31    5.803380e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    8.528193e+09
2020-12-31    7.078326e+09
2019-12-31    6.232693e+09
2018-12-31    4.938797e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.987181
2020-12-31    1.009276
2019-12-31    1.032692
2018-12-31    1.175059
dtype: float64","
2021-12-31    2.430951e+09
2020-12-31    1.896188e+09
2019-12-31    9.717810e+08
2018-12-31    7.772190e+08
Name: Cash, dtype: float64","
2021-12-31    1.008236e+10
2020-12-31    8.845631e+09
2019-12-31    7.534464e+09
2018-12-31    6.754210e+09
Name: Total Current Assets, dtype: float64"
KGX.F,2.066436583,0.0704,"
2021-12-31    5.105300e+09
2020-12-31    3.818300e+09
2019-12-31    3.929000e+09
2018-12-31    3.664600e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    5.177100e+09
2020-12-31    4.283900e+09
2019-12-31    3.567600e+09
2018-12-31    3.301700e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.986131
2020-12-31    0.891314
2019-12-31    1.101301
2018-12-31    1.109913
dtype: float64","
2021-12-31    483000000.0
2020-12-31    314400000.0
2019-12-31    211200000.0
2018-12-31    175300000.0
Name: Cash, dtype: float64","
2021-12-31    4.697900e+09
2020-12-31    3.389400e+09
2019-12-31    3.068800e+09
2018-12-31    2.818200e+09
Name: Total Current Assets, dtype: float64"
HSAQ,,,"
2021-12-31    165539.0
2020-12-31    118956.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -3941965.0
2020-12-31   -3563212.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.041994
2020-12-31   -0.033384
dtype: float64","
2021-12-31    1754460.0
2020-12-31    2026822.0
Name: Cash, dtype: float64","
2021-12-31    1801127.0
2020-12-31    2149300.0
Name: Total Current Assets, dtype: float64"
BRP,-2.076124567,,"
2021-12-31    540689000.0
2020-12-31    217420000.0
2019-12-31     72825000.0
2018-12-31     33227000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    608383000.0
2020-12-31    367783000.0
2019-12-31     73285000.0
2018-12-31    -63696000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.888731
2020-12-31    0.591164
2019-12-31    0.993723
2018-12-31   -0.521650
dtype: float64","
2021-12-31    138292000.0
2020-12-31    108462000.0
2019-12-31     67689000.0
2018-12-31      7995000.0
Name: Cash, dtype: float64","
2021-12-31    578393000.0
2020-12-31    301989000.0
2019-12-31    132926000.0
2018-12-31     38594000.0
Name: Total Current Assets, dtype: float64"
AEZS,0.88,,"
2021-12-31    7766000.0
2020-12-31    4742000.0
2019-12-31    5659000.0
2018-12-31    5596000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    52986000.0
2020-12-31    13211000.0
2019-12-31    -2463000.0
2018-12-31     1907000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.146567
2020-12-31    0.358943
2019-12-31   -2.297605
2018-12-31    2.934452
dtype: float64","
2021-12-31    65300000.0
2020-12-31    24271000.0
2019-12-31     7838000.0
2018-12-31    14512000.0
Name: Cash, dtype: float64","
2021-12-31    70820000.0
2020-12-31    27614000.0
2019-12-31    10910000.0
2018-12-31    16256000.0
Name: Total Current Assets, dtype: float64"
VET,0.395846853,0.0101,"
2021-12-31    746813000.0
2020-12-31    433128000.0
2019-12-31    416210000.0
2018-12-31    563199000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.066145e+09
2020-12-31    9.254020e+08
2019-12-31    2.453305e+09
2018-12-31    2.817251e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.361452
2020-12-31    0.468043
2019-12-31    0.169653
2018-12-31    0.199911
dtype: float64","
2021-12-31     6028000.0
2020-12-31     6904000.0
2019-12-31    29028000.0
2018-12-31    26809000.0
Name: Cash, dtype: float64","
2021-12-31    472845000.0
2020-12-31    260993000.0
2019-12-31    347681000.0
2018-12-31    429877000.0
Name: Total Current Assets, dtype: float64"
HRGLF,,0.0551,"
2022-06-30    488300000.0
2021-06-30    774000000.0
2020-06-30    696800000.0
2019-06-30    513200000.0
Name: Total Current Liabilities, dtype: float64","
2022-06-30    575100000.0
2021-06-30    593500000.0
2020-06-30    558300000.0
2019-06-30    457900000.0
Name: Total Stockholder Equity, dtype: float64","
2022-06-30    0.849070
2021-06-30    1.304128
2020-06-30    1.248075
2019-06-30    1.120769
dtype: float64","
2022-06-30    488000000.0
2021-06-30    443500000.0
2020-06-30    232800000.0
2019-06-30    179000000.0
Name: Cash, dtype: float64","
2022-06-30    1.013200e+09
2021-06-30    1.316900e+09
2020-06-30    1.210500e+09
2019-06-30    9.291000e+08
Name: Total Current Assets, dtype: float64"
BBVXF,,0.070700005,"
2021-12-31    5.202090e+11
2020-12-31    5.849480e+11
2019-12-31    5.383180e+11
2018-12-31    5.284630e+11
Name: Total Current Liabilities, dtype: float64","
2021-12-31    4.390700e+10
2020-12-31    4.454700e+10
2019-12-31    4.872500e+10
2018-12-31    4.711000e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    11.847974
2020-12-31    13.131030
2019-12-31    11.048086
2018-12-31    11.217640
dtype: float64","
2021-12-31    6.877000e+09
2020-12-31    6.447000e+09
2019-12-31    7.060000e+09
2018-12-31    6.346000e+09
Name: Cash, dtype: float64","
2021-12-31    1.990600e+11
2020-12-31    2.639400e+11
2019-12-31    1.536020e+11
2018-12-31    1.570970e+11
Name: Total Current Assets, dtype: float64"
BFRI,0.31121751,,"
2021-12-31    13836000.0
2020-12-31     4420000.0
2019-12-31    11742000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    11338000.0
2020-12-31     5828000.0
2019-12-31   -30179000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.220321
2020-12-31    0.758408
2019-12-31   -0.389078
dtype: float64","
2021-12-31    24545000.0
2020-12-31     8080000.0
2019-12-31     7302000.0
Name: Cash, dtype: float64","
2021-12-31    46421000.0
2020-12-31    19576000.0
2019-12-31    23468000.0
Name: Total Current Assets, dtype: float64"
GGAL,1.025641026,0.0387,"
2021-12-31    1.141621e+12
2020-12-31    1.119030e+12
2019-12-31    6.363878e+11
2018-12-31    6.207181e+11
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.025664e+11
2020-12-31    2.714831e+11
2019-12-31    1.523008e+11
2018-12-31    9.249196e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    3.773126
2020-12-31    4.121912
2019-12-31    4.178493
2018-12-31    6.711049
dtype: float64","
2021-12-31    2.310568e+11
2020-12-31    3.077874e+11
2019-12-31    1.605340e+11
2018-12-31    1.509028e+11
Name: Cash, dtype: float64","
2021-12-31    7.349457e+11
2020-12-31    6.554821e+11
2019-12-31    3.499467e+11
2018-12-31    3.642401e+11
Name: Total Current Assets, dtype: float64"
GCP.F,,0.0043,"
2021-12-31    5.195300e+10
2020-12-31    5.461300e+10
2019-12-31    7.886500e+10
2018-12-31    6.261500e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    4.030400e+10
2020-12-31    3.554600e+10
2019-12-31    2.831000e+10
2018-12-31    3.097500e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.289028
2020-12-31    1.536404
2019-12-31    2.785765
2018-12-31    2.021469
dtype: float64","
2021-12-31    1.347000e+10
2020-12-31    3.653000e+10
2019-12-31    1.761300e+10
2018-12-31    1.663200e+10
Name: Cash, dtype: float64","
2021-12-31    6.634800e+10
2020-12-31    8.485300e+10
2019-12-31    1.030960e+11
2018-12-31    1.412160e+11
Name: Total Current Assets, dtype: float64"
AMPI,,,"
2021-12-31    703952.0
2020-12-31    168111.0
2020-12-07     40496.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -16154717.0
2020-12-31       24054.0
2020-12-07       24504.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.043576
2020-12-31    6.988900
2020-12-07    1.652628
dtype: float64","
2021-12-31    1850187.0
2020-12-31      25000.0
2020-12-07      25000.0
Name: Cash, dtype: float64","
2021-12-31    1931021.0
2020-12-31      25000.0
2020-12-07      25000.0
Name: Total Current Assets, dtype: float64"
WING,1.936842105,0.0049,"
2021-12-25    39681000.0
2020-12-26    50473000.0
2019-12-28    32929000.0
2018-12-29    26482000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-25   -309525000.0
2020-12-26   -341310000.0
2019-12-28   -209428000.0
2018-12-29   -224830000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-25   -0.128200
2020-12-26   -0.147880
2019-12-28   -0.157233
2018-12-29   -0.117787
dtype: float64","
2021-12-25    48583000.0
2020-12-26    40858000.0
2019-12-28    12849000.0
2018-12-29    12493000.0
Name: Cash, dtype: float64","
2021-12-25    70149000.0
2020-12-26    72620000.0
2019-12-28    30190000.0
2018-12-29    29906000.0
Name: Total Current Assets, dtype: float64"
MIT,,,"
2021-12-31    392455.0
2020-12-31    500000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -33035981.0
2020-12-31      -58334.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.011880
2020-12-31   -8.571331
dtype: float64","
2021-12-31    975393.0
2020-12-31    167224.0
Name: Cash, dtype: float64","
2021-12-31    1497593.0
2020-12-31     167224.0
Name: Total Current Assets, dtype: float64"
BX7.F,,0.1268,"
2021-12-31    2.476000e+09
2020-12-31    2.114000e+09
2019-12-31    2.364000e+09
2019-01-01    2.401000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.978000e+09
2020-12-31    2.903000e+09
2019-12-31    2.856000e+09
2019-01-01    3.005000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.831430
2020-12-31    0.728212
2019-12-31    0.827731
2019-01-01    0.799002
dtype: float64","
2021-12-31    249000000.0
2020-12-31    310000000.0
2019-12-31    323000000.0
2019-01-01    340000000.0
Name: Cash, dtype: float64","
2021-12-31    1.685000e+09
2020-12-31    1.660000e+09
2019-12-31    1.818000e+09
2019-01-01    1.812000e+09
Name: Total Current Assets, dtype: float64"
EVA,-2.692847125,0.0615,"
2021-12-31    257006000.0
2020-12-31    234275000.0
2019-12-31    128372000.0
2018-12-31    167332000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    318358000.0
2020-12-31    -78838000.0
2019-12-31    382507000.0
2018-12-31    280403000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.807286
2020-12-31   -2.971600
2019-12-31    0.335607
2018-12-31    0.596755
dtype: float64","
2021-12-31    16801000.0
2020-12-31    66114000.0
2019-12-31     9053000.0
2018-12-31     2460000.0
Name: Cash, dtype: float64","
2021-12-31    198730000.0
2020-12-31    259043000.0
2019-12-31    120089000.0
2018-12-31     97511000.0
Name: Total Current Assets, dtype: float64"
TRONW,,,,,,,
CRBP,0.33005618,,"
2021-12-31    17007529.0
2020-12-31    31897836.0
2019-12-31    34887706.0
2018-12-31    18089330.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    69108027.0
2020-12-31    45274925.0
2019-12-31     6157565.0
2018-12-31    27524120.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.246101
2020-12-31    0.704536
2019-12-31    5.665828
2018-12-31    0.657217
dtype: float64","
2021-12-31    25006632.0
2020-12-31    85433441.0
2019-12-31    31748686.0
2018-12-31    41748468.0
Name: Cash, dtype: float64","
2021-12-31    100204637.0
2020-12-31     92074631.0
2019-12-31     38154683.0
2018-12-31     44240312.0
Name: Total Current Assets, dtype: float64"
IHG,-1.728481456,0.024400001,"
2021-12-31    1.624000e+09
2020-12-31    1.867000e+09
2019-12-31    1.365000e+09
2018-12-31    1.407000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -1.481000e+09
2020-12-31   -1.857000e+09
2019-12-31   -1.473000e+09
2018-12-31   -1.139000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -1.096556
2020-12-31   -1.005385
2019-12-31   -0.926680
2018-12-31   -1.235294
dtype: float64","
2021-12-31    1.450000e+09
2020-12-31    1.675000e+09
2019-12-31    1.950000e+08
2018-12-31    7.040000e+08
Name: Cash, dtype: float64","
2021-12-31    2.066000e+09
2020-12-31    2.243000e+09
2019-12-31    9.350000e+08
2018-12-31    1.373000e+09
Name: Total Current Assets, dtype: float64"
MNRO,3.588342441,0.0251,"
2022-03-26    321964000.0
2021-03-27    290616000.0
2020-03-28    254936000.0
2019-03-30    218447000.0
Name: Total Current Liabilities, dtype: float64","
2022-03-26    782877000.0
2021-03-27    749655000.0
2020-03-28    734407000.0
2019-03-30    699477000.0
Name: Total Stockholder Equity, dtype: float64","
2022-03-26    0.411257
2021-03-27    0.387666
2020-03-28    0.347132
2019-03-30    0.312300
dtype: float64","
2022-03-26      7948000.0
2021-03-27     29960000.0
2020-03-28    345476000.0
2019-03-30      6214000.0
Name: Cash, dtype: float64","
2022-03-26    245502000.0
2021-03-27    266525000.0
2020-03-28    596020000.0
2019-03-30    239907000.0
Name: Total Current Assets, dtype: float64"
VATE,,,"
2021-12-31    4.395000e+08
2020-12-31    5.933200e+09
2019-12-31    5.285000e+08
2018-12-31    3.533000e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    -84300000.0
2020-12-31    559800000.0
2019-12-31    349800000.0
2018-12-31     88100000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    -5.213523
2020-12-31    10.598785
2019-12-31     1.510863
2018-12-31     4.010216
dtype: float64","
2021-12-31     45500000.0
2020-12-31     43800000.0
2019-12-31    193700000.0
2018-12-31    325000000.0
Name: Cash, dtype: float64","
2021-12-31    4.426000e+08
2020-12-31    6.227300e+09
2019-12-31    1.994200e+09
2018-12-31    1.805300e+09
Name: Total Current Assets, dtype: float64"
C9F.F,,,"
2021-12-31    873682000.0
2020-12-31    822199000.0
2019-12-31    666593000.0
2018-12-31    449990000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.297374e+09
2020-12-31    2.020135e+09
2019-12-31    1.683026e+09
2018-12-31    1.441339e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.380296
2020-12-31    0.407002
2019-12-31    0.396068
2018-12-31    0.312203
dtype: float64","
2021-12-31    815374000.0
2020-12-31    607987000.0
2019-12-31    480626000.0
2018-12-31    249953000.0
Name: Cash, dtype: float64","
2021-12-31    1.381564e+09
2020-12-31    1.420237e+09
2019-12-31    1.072204e+09
2018-12-31    8.147940e+08
Name: Total Current Assets, dtype: float64"
MBCN,1.173184358,0.023699999,"
2021-12-31    1.169032e+09
2020-12-31    1.227190e+09
2019-12-31    1.028286e+09
2018-12-31    1.108267e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    145335000.0
2020-12-31    143810000.0
2019-12-31    137775000.0
2018-12-31    128290000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    8.043706
2020-12-31    8.533412
2019-12-31    7.463517
2018-12-31    8.638764
dtype: float64","
2021-12-31    119494000.0
2020-12-31    112417000.0
2019-12-31     18613000.0
2018-12-31     90633000.0
Name: Cash, dtype: float64","
2021-12-31    131669000.0
2020-12-31    125892000.0
2019-12-31     39959000.0
2018-12-31    112433000.0
Name: Total Current Assets, dtype: float64"
3EC.F,2.566493955,0.0229,"
2021-12-31    7.212000e+09
2020-12-31    5.881000e+09
2019-12-31    5.132000e+09
2018-12-31    5.154000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.641300e+10
2020-12-31    1.493000e+10
2019-12-31    1.608200e+10
2018-12-31    1.610700e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.439408
2020-12-31    0.393905
2019-12-31    0.319115
2018-12-31    0.319985
dtype: float64","
2021-12-31    297000000.0
2020-12-31    438000000.0
2019-12-31    370000000.0
2018-12-31    283000000.0
Name: Cash, dtype: float64","
2021-12-31    7.511000e+09
2020-12-31    9.178000e+09
2019-12-31    8.728000e+09
2018-12-31    7.590000e+09
Name: Total Current Assets, dtype: float64"
7XP.F,1.153773406,0.0432,"
2021-12-31    2.597000e+09
2020-12-31    2.673000e+09
2019-12-31    1.341000e+09
2018-12-31    1.545000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -1.508000e+09
2020-12-31    5.486000e+09
2019-12-31    7.035000e+09
2018-12-31    6.348000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -1.722149
2020-12-31    0.487240
2019-12-31    0.190618
2018-12-31    0.243384
dtype: float64","
2021-12-31    737000000.0
2020-12-31     12000000.0
2019-12-31    319000000.0
2018-12-31    244000000.0
Name: Cash, dtype: float64","
2021-12-31    3.760000e+09
2020-12-31    3.567000e+09
2019-12-31    3.955000e+09
2018-12-31    3.714000e+09
Name: Total Current Assets, dtype: float64"
EQC,-0.022440393,,"
2021-12-31    22127000.0
2020-12-31    31579000.0
2019-12-31    44687000.0
2018-12-31    62368000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.929465e+09
2020-12-31    3.117415e+09
2019-12-31    3.125314e+09
2018-12-31    3.063538e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.007553
2020-12-31    0.010130
2019-12-31    0.014298
2018-12-31    0.020358
dtype: float64","
2021-12-31    2.800998e+09
2020-12-31    2.987225e+09
2019-12-31    2.795642e+09
2018-12-31    2.400803e+09
Name: Cash, dtype: float64","
2021-12-31    2.816547e+09
2020-12-31    3.001927e+09
2019-12-31    2.820199e+09
2018-12-31    2.455190e+09
Name: Total Current Assets, dtype: float64"
ATEN,2.46031746,0.0119,"
2021-12-31    116085000.0
2020-12-31    107780000.0
2019-12-31     97581000.0
2018-12-31     97367000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    208888000.0
2020-12-31    115974000.0
2019-12-31    108787000.0
2018-12-31    103883000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.555728
2020-12-31    0.929346
2019-12-31    0.896991
2018-12-31    0.937276
dtype: float64","
2021-12-31    78925000.0
2020-12-31    83281000.0
2019-12-31    45742000.0
2018-12-31    40621000.0
Name: Cash, dtype: float64","
2021-12-31    284019000.0
2020-12-31    242303000.0
2019-12-31    220939000.0
2018-12-31    214939000.0
Name: Total Current Assets, dtype: float64"
GDNRW,,,,,,,
HA,-0.138522427,,"
2021-12-31    1.111010e+09
2020-12-31    1.004548e+09
2019-12-31    1.075216e+09
2018-12-31    1.006133e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    5.690860e+08
2020-12-31    6.001570e+08
2019-12-31    1.081796e+09
2018-12-31    9.479940e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.952271
2020-12-31    1.673809
2019-12-31    0.993918
2018-12-31    1.061328
dtype: float64","
2021-12-31    490561000.0
2020-12-31    509639000.0
2019-12-31    373056000.0
2018-12-31    268577000.0
Name: Cash, dtype: float64","
2021-12-31    2.013905e+09
2020-12-31    1.118478e+09
2019-12-31    8.747060e+08
2018-12-31    7.051670e+08
Name: Total Current Assets, dtype: float64"
LLY,1.296407186,0.011,"
2021-12-31    1.505270e+10
2020-12-31    1.248160e+10
2019-12-31    1.177520e+10
2018-12-31    1.188810e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    8.979200e+09
2020-12-31    5.641600e+09
2019-12-31    2.606900e+09
2018-12-31    9.828700e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.676397
2020-12-31    2.212422
2019-12-31    4.516936
2018-12-31    1.209529
dtype: float64","
2021-12-31    3.818500e+09
2020-12-31    3.657100e+09
2019-12-31    2.337500e+09
2018-12-31    7.320700e+09
Name: Cash, dtype: float64","
2021-12-31    1.845240e+10
2020-12-31    1.746210e+10
2019-12-31    1.370960e+10
2018-12-31    2.054960e+10
Name: Total Current Assets, dtype: float64"
KSS,-4,0.066199996,"
2022-01-29    3.286000e+09
2021-01-30    3.022000e+09
2020-02-01    2.769000e+09
2019-02-02    2.730000e+09
Name: Total Current Liabilities, dtype: float64","
2022-01-29    4.661000e+09
2021-01-30    5.196000e+09
2020-02-01    5.450000e+09
2019-02-02    5.527000e+09
Name: Total Stockholder Equity, dtype: float64","
2022-01-29    0.704999
2021-01-30    0.581601
2020-02-01    0.508073
2019-02-02    0.493939
dtype: float64","
2022-01-29    1.587000e+09
2021-01-30    2.271000e+09
2020-02-01    7.230000e+08
2019-02-02    9.340000e+08
Name: Cash, dtype: float64","
2022-01-29    5.023000e+09
2021-01-30    5.835000e+09
2020-02-01    4.649000e+09
2019-02-02    4.835000e+09
Name: Total Current Assets, dtype: float64"
ALRS.ME,3.057382626,0.23719999,"
2021-12-31    5.336400e+10
2020-12-31    9.667100e+10
2019-12-31    6.418700e+10
2018-12-31    7.458100e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.235550e+11
2020-12-31    2.642230e+11
2019-12-31    2.533770e+11
2018-12-31    2.476160e+11
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.238706
2020-12-31    0.365869
2019-12-31    0.253326
2018-12-31    0.301196
dtype: float64","
2021-12-31    2.953400e+10
2020-12-31    8.687200e+10
2019-12-31    1.331500e+10
2018-12-31    2.743700e+10
Name: Cash, dtype: float64","
2021-12-31    1.673750e+11
2020-12-31    2.712720e+11
2019-12-31    1.787330e+11
2018-12-31    1.547500e+11
Name: Total Current Assets, dtype: float64"
