,ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
46,BYNN.F,,0.0846,"
2021-12-31    1.160941e+09
2020-12-31    8.870920e+08
2019-12-31    1.509771e+09
2018-12-31    9.028190e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.616662e+09
2020-12-31    2.501051e+09
2019-12-31    2.447080e+09
2018-12-31    2.196787e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.443673
2020-12-31    0.354688
2019-12-31    0.616968
2018-12-31    0.410972
dtype: float64","
2021-12-31    8.748900e+08
2020-12-31    1.081584e+09
2019-12-31    8.601500e+08
2018-12-31    7.559690e+08
Name: Cash, dtype: float64","
2021-12-31    2.086588e+09
2020-12-31    1.936746e+09
2019-12-31    3.000438e+09
2018-12-31    1.746808e+09
Name: Total Current Assets, dtype: float64"
47,TR1.F,1.373873874,0.0452,"
2021-12-31    1.652400e+09
2020-12-31    1.178500e+09
2019-12-31    9.218000e+08
2018-12-31    7.860000e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    9.022700e+09
2020-12-31    7.707000e+09
2019-12-31    7.102100e+09
2018-12-31    6.124300e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.183138
2020-12-31    0.152913
2019-12-31    0.129793
2018-12-31    0.128341
dtype: float64","
2021-12-31    1.523100e+09
2020-12-31    2.151700e+09
2019-12-31    1.781800e+09
2018-12-31    1.425200e+09
Name: Cash, dtype: float64","
2021-12-31    2.593300e+09
2020-12-31    3.039800e+09
2019-12-31    2.460200e+09
2018-12-31    1.996700e+09
Name: Total Current Assets, dtype: float64"
48,SIGA,1.14084507,,"
2021-12-31    30487858.0
2020-12-31    10483510.0
2019-12-31    91735809.0
2018-12-31    11337405.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    174314407.0
2020-12-31    129793269.0
2019-12-31     97783756.0
2018-12-31    102914687.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.174902
2020-12-31    0.080771
2019-12-31    0.938150
2018-12-31    0.110163
dtype: float64","
2021-12-31    103138819.0
2020-12-31    117890240.0
2019-12-31     65249072.0
2018-12-31    100652809.0
Name: Cash, dtype: float64","
2021-12-31    208753092.0
2020-12-31    143608091.0
2019-12-31    180041785.0
2018-12-31    121289845.0
Name: Total Current Assets, dtype: float64"
49,BNDSY,,0.045700002,"
2021-12-31    2.138527e+11
2020-12-31    1.978881e+11
2019-12-31    1.841478e+11
2018-12-31    1.859330e+11
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.297130e+10
2020-12-31    1.242000e+10
2019-12-31    1.290506e+10
2018-12-31    1.205346e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    16.486607
2020-12-31    15.933015
2019-12-31    14.269423
2018-12-31    15.425692
dtype: float64","
2021-12-31    1.472175e+09
2020-12-31    1.342410e+09
2019-12-31    1.581928e+09
2018-12-31    1.429039e+09
Name: Cash, dtype: float64","
2021-12-31    5.300459e+10
2020-12-31    4.061538e+10
2019-12-31    2.070706e+10
2018-12-31    3.232836e+10
Name: Total Current Assets, dtype: float64"
50,DSX,-0.326153846,0.2625,"
2021-12-31     65131000.0
2020-12-31     61589000.0
2019-12-31     65484000.0
2018-12-31    125156000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    393169000.0
2020-12-31    428544000.0
2019-12-31    570038000.0
2018-12-31    627658000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.165656
2020-12-31    0.143717
2019-12-31    0.114877
2018-12-31    0.199402
dtype: float64","
2021-12-31    110288000.0
2020-12-31     62909000.0
2019-12-31    107288000.0
2018-12-31    126825000.0
Name: Cash, dtype: float64","
2021-12-31    125645000.0
2020-12-31    104661000.0
2019-12-31    137039000.0
2018-12-31    141972000.0
Name: Total Current Assets, dtype: float64"
51,PHMMF,,0.0124,"
2021-12-31    86346000.0
2020-12-31    94919000.0
2019-12-31    60439000.0
2018-12-31    72382000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    177918000.0
2020-12-31    102722000.0
2019-12-31     11374000.0
2018-12-31     21373000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.485313
2020-12-31    0.924038
2019-12-31    5.313786
2018-12-31    3.386609
dtype: float64","
2021-12-31    113348000.0
2020-12-31     96210000.0
2019-12-31     17638000.0
2018-12-31     22745000.0
Name: Cash, dtype: float64","
2021-12-31    295231000.0
2020-12-31    245651000.0
2019-12-31     49976000.0
2018-12-31     75110000.0
Name: Total Current Assets, dtype: float64"
52,BTCS,,0.041300002,"
2021-12-31    1998550.0
2020-12-31     508605.0
2019-12-31     605113.0
2018-12-31     319146.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    12103443.0
2020-12-31     1043258.0
2019-12-31     -183789.0
2018-12-31     -256022.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.165122
2020-12-31    0.487516
2019-12-31   -3.292433
2018-12-31   -1.246557
dtype: float64","
2021-12-31    1400867.0
2020-12-31     524135.0
2019-12-31     143098.0
2018-12-31      52117.0
Name: Cash, dtype: float64","
2021-12-31    5466532.0
2020-12-31    1551662.0
2019-12-31     420009.0
2018-12-31      60450.0
Name: Total Current Assets, dtype: float64"
53,RTLPP,,0.097399995,"
2021-12-31    42727000.0
2020-12-31    29008000.0
2019-12-31    30117000.0
2018-12-31    28994000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.699729e+09
2020-12-31    1.668963e+09
2019-12-31    1.683262e+09
2018-12-31    1.601400e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.025138
2020-12-31    0.017381
2019-12-31    0.017892
2018-12-31    0.018105
dtype: float64","
2021-12-31    214853000.0
2020-12-31    102860000.0
2019-12-31     81898000.0
2018-12-31     91451000.0
Name: Cash, dtype: float64","
2021-12-31    562156000.0
2020-12-31    204056000.0
2019-12-31    148580000.0
2018-12-31    214537000.0
Name: Total Current Assets, dtype: float64"
54,NBIX,1.161057692,,"
2021-12-31    245800000.0
2020-12-31    186500000.0
2019-12-31    565300000.0
2018-12-31     88233000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.374000e+09
2020-12-31    1.126200e+09
2019-12-31    6.369000e+08
2018-12-31    4.807650e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.178894
2020-12-31    0.165601
2019-12-31    0.887580
2018-12-31    0.183526
dtype: float64","
2021-12-31    340800000.0
2020-12-31    187100000.0
2019-12-31    112300000.0
2018-12-31    141714000.0
Name: Cash, dtype: float64","
2021-12-31    9.728000e+08
2020-12-31    1.016200e+09
2019-12-31    8.310000e+08
2018-12-31    7.377770e+08
Name: Total Current Assets, dtype: float64"
55,RFI,,0.0784,"
2021-12-31    5852830.0
2020-12-31     319528.0
2019-12-31     631741.0
2018-12-31     284720.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    429363991.0
2020-12-31    343551910.0
2019-12-31    372090816.0
2018-12-31    310711011.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.013631
2020-12-31    0.000930
2019-12-31    0.001698
2018-12-31    0.000916
dtype: float64","
2021-12-31    7020939.0
2020-12-31          NaN
2019-12-31     151862.0
2018-12-31      30139.0
Name: Cash, dtype: float64","
2021-12-31    8294827.0
2020-12-31    4457432.0
2019-12-31    1905952.0
2018-12-31    2069117.0
Name: Total Current Assets, dtype: float64"
56,0QZ5.L,,,"
2021-12-31    3.529000e+09
2020-12-31    3.540000e+09
2019-12-31    2.983000e+09
2018-12-31    2.710000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.199100e+10
2020-12-31    1.083600e+10
2019-12-31    1.102200e+10
2018-12-31    1.142400e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.294304
2020-12-31    0.326689
2019-12-31    0.270641
2018-12-31    0.237220
dtype: float64","
2021-12-31    1.792000e+09
2020-12-31    2.680000e+09
2019-12-31    2.645000e+09
2018-12-31    1.161000e+09
Name: Cash, dtype: float64","
2021-12-31    7.342000e+09
2020-12-31    6.851000e+09
2019-12-31    7.611000e+09
2018-12-31    8.610000e+09
Name: Total Current Assets, dtype: float64"
57,PRAX,1.290322581,,"
2021-12-31    38434000.0
2020-12-31    15720000.0
2019-12-31     6818000.0
2018-12-31     5145000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    250812000.0
2020-12-31    287457000.0
2019-12-31    -81008000.0
2018-12-31    -41038000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.153238
2020-12-31    0.054686
2019-12-31   -0.084165
2018-12-31   -0.125372
dtype: float64","
2021-12-31    138704000.0
2020-12-31    296608000.0
2019-12-31     44815000.0
2018-12-31     17950000.0
Name: Cash, dtype: float64","
2021-12-31    287409000.0
2020-12-31    302326000.0
2019-12-31     45496000.0
2018-12-31     19126000.0
Name: Total Current Assets, dtype: float64"
58,AG1.F,,,"
2021-12-31    335950000.0
2020-12-31    159416000.0
2019-12-31    154024000.0
2018-12-31    144203000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    921014000.0
2020-12-31      4465000.0
2019-12-31    153296000.0
2018-12-31    270486000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31     0.364761
2020-12-31    35.703471
2019-12-31     1.004749
2018-12-31     0.533126
dtype: float64","
2021-12-31    106653000.0
2020-12-31    157251000.0
2019-12-31     57599000.0
2018-12-31    116513000.0
Name: Cash, dtype: float64","
2021-12-31    1.488112e+09
2020-12-31    4.616210e+08
2019-12-31    4.287800e+08
2018-12-31    4.402760e+08
Name: Total Current Assets, dtype: float64"
59,HBNC,0.884198517,0.0403,"
2021-12-31    5.954858e+09
2020-12-31    4.686938e+09
2019-12-31    4.108904e+09
2018-12-31    3.337014e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    723209000.0
2020-12-31    692216000.0
2019-12-31    656023000.0
2018-12-31    491992000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    8.233938
2020-12-31    6.770918
2019-12-31    6.263354
2018-12-31    6.782659
dtype: float64","
2021-12-31    593508000.0
2020-12-31    249711000.0
2019-12-31     98831000.0
2018-12-31     58492000.0
Name: Cash, dtype: float64","
2021-12-31    656023000.0
2020-12-31    331951000.0
2019-12-31    145614000.0
2018-12-31     91765000.0
Name: Total Current Assets, dtype: float64"
60,GNTX,1.539482415,0.0191,"
2021-12-31    181656100.0
2020-12-31    177736857.0
2019-12-31    171846800.0
2018-12-31    169160919.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.937988e+09
2020-12-31    1.963943e+09
2019-12-31    1.938088e+09
2018-12-31    1.861752e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.093734
2020-12-31    0.090500
2019-12-31    0.088668
2018-12-31    0.090861
dtype: float64","
2021-12-31    262311670.0
2020-12-31    423371036.0
2019-12-31    296321622.0
2018-12-31    217025278.0
Name: Cash, dtype: float64","
2021-12-31    872975749.0
2020-12-31    979330564.0
2019-12-31    950376892.0
2018-12-31    850930254.0
Name: Total Current Assets, dtype: float64"
61,ATOM,0.905405405,,"
2021-12-31    2753000.0
2020-12-31    1448000.0
2019-12-31    1468000.0
2018-12-31    1611000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    28381000.0
2020-12-31    37345000.0
2019-12-31    13772000.0
2018-12-31    17746000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.097002
2020-12-31    0.038774
2019-12-31    0.106593
2018-12-31    0.090781
dtype: float64","
2021-12-31    28699000.0
2020-12-31    37942000.0
2019-12-31    14871000.0
2018-12-31    18933000.0
Name: Cash, dtype: float64","
2021-12-31    29008000.0
2020-12-31    38074000.0
2019-12-31    15003000.0
2018-12-31    19288000.0
Name: Total Current Assets, dtype: float64"
62,SWDBF,,0.066,"
2021-12-31    1.680341e+12
2020-12-31    1.519156e+12
2019-12-31    1.317247e+12
2018-12-31    1.318777e+12
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.616700e+11
2020-12-31    1.551680e+11
2019-12-31    1.386080e+11
2018-12-31    1.373960e+11
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    10.393648
2020-12-31     9.790395
2019-12-31     9.503398
2018-12-31     9.598365
dtype: float64","
2021-12-31    3.601530e+11
2020-12-31    2.938110e+11
2019-12-31    1.952860e+11
2018-12-31    1.631610e+11
Name: Cash, dtype: float64","
2021-12-31    4.405000e+11
2020-12-31    4.089830e+11
2019-12-31    2.964410e+11
2018-12-31    2.507650e+11
Name: Total Current Assets, dtype: float64"
63,CYCN,0.451059991,,"
2021-12-31    11085000.0
2020-12-31    16952000.0
2019-12-31    18249000.0
2018-12-31    17846000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    48246000.0
2020-12-31    59493000.0
2019-12-31    97729000.0
2018-12-31   -10445000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.229760
2020-12-31    0.284941
2019-12-31    0.186731
2018-12-31   -1.708569
dtype: float64","
2021-12-31    53961000.0
2020-12-31    54395000.0
2019-12-31    94895000.0
2018-12-31           NaN
Name: Cash, dtype: float64","
2021-12-31     55457000.0
2020-12-31     58501000.0
2019-12-31    101197000.0
2018-12-31       879000.0
Name: Total Current Assets, dtype: float64"
64,STOK,0.731707317,,"
2021-12-31    17139000.0
2020-12-31    11425000.0
2019-12-31     4101000.0
2018-12-31     2467000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    217777000.0
2020-12-31    286078000.0
2019-12-31    224428000.0
2018-12-31    105066000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.078700
2020-12-31    0.039937
2019-12-31    0.018273
2018-12-31    0.023480
dtype: float64","
2021-12-31    144895000.0
2020-12-31    287308000.0
2019-12-31    222471000.0
2018-12-31    105399000.0
Name: Cash, dtype: float64","
2021-12-31    229218000.0
2020-12-31    293930000.0
2019-12-31    226033000.0
2018-12-31    106143000.0
Name: Total Current Assets, dtype: float64"
65,SMIZF,,,"
2021-12-31    802348000.0
2020-12-31    759933000.0
2019-12-31    769976000.0
2018-12-31    853034000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.033490e+08
2020-12-31    4.753330e+08
2019-12-31    1.242392e+09
2018-12-31    1.162477e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    2.644967
2020-12-31    1.598738
2019-12-31    0.619753
2018-12-31    0.733807
dtype: float64","
2021-12-31     97858000.0
2020-12-31    104650000.0
2019-12-31    328944000.0
2018-12-31    312902000.0
Name: Cash, dtype: float64","
2021-12-31    323234000.0
2020-12-31    365735000.0
2019-12-31    640904000.0
2018-12-31    714519000.0
Name: Total Current Assets, dtype: float64"
66,KERNW,,,,,,,
67,VTNR,-0.308823529,,"
2021-12-31    49153523.0
2020-12-31    26194951.0
2019-12-31    24797299.0
2018-12-31    16995611.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    28069507.0
2020-12-31     4606451.0
2019-12-31    22324233.0
2018-12-31    27370411.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.751136
2020-12-31    5.686580
2019-12-31    1.110779
2018-12-31    0.620948
dtype: float64","
2021-12-31    36129941.0
2020-12-31    10895044.0
2019-12-31     4099655.0
2018-12-31     1249831.0
Name: Cash, dtype: float64","
2021-12-31    234151548.0
2020-12-31     29785388.0
2019-12-31     27406908.0
2018-12-31     23542912.0
Name: Total Current Assets, dtype: float64"
68,BRAG,,,"
2021-12-31    15317000.0
2020-12-31    30042000.0
2019-12-31    20801000.0
2018-12-31    10121000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    66195000.0
2020-12-31    39897000.0
2019-12-31     6616000.0
2018-12-31    15896000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.231392
2020-12-31    0.752989
2019-12-31    3.144045
2018-12-31    0.636701
dtype: float64","
2021-12-31    16006000.0
2020-12-31    26102000.0
2019-12-31      682000.0
2018-12-31     5480000.0
Name: Cash, dtype: float64","
2021-12-31    26958000.0
2020-12-31    36810000.0
2019-12-31     8337000.0
2018-12-31     9765000.0
Name: Total Current Assets, dtype: float64"
69,PSMA.F,,,,,,,
